0, 0, Header, 1, 4, 480
1, 0, Start_track
1, 0, Copyright_t, "Copyright (c) xxxx Copyright Holder"
1, 0, Cue_point_t, "Created by Rosegarden"
1, 0, Cue_point_t, "http://www.rosegardenmusic.com/"
1, 0, Tempo, 500000
1, 0, Time_signature, 8, 3, 12, 8
1, 13440, Time_signature, 3, 2, 24, 8
1, 14880, Time_signature, 4, 2, 24, 8
1, 249120, Tempo, 500000
1, 249120, Time_signature, 4, 2, 24, 8
1, 571680, Tempo, 447760
1, 571680, Time_signature, 4, 2, 24, 8
1, 990240, Tempo, 352941
1, 990240, Time_signature, 4, 2, 24, 8
1, 1305120, Tempo, 326087
1, 1305120, Time_signature, 4, 2, 24, 8
1, 1506720, Tempo, 500000
1, 1506720, Time_signature, 4, 2, 24, 8
1, 1621920, Tempo, 495867
1, 1621920, Time_signature, 4, 2, 24, 8
1, 1623840, Tempo, 495867
1, 1625760, Tempo, 495867
1, 1627680, Tempo, 495867
1, 1629600, Tempo, 495867
1, 1631520, Tempo, 495867
1, 1633440, Tempo, 495867
1, 1635360, Tempo, 495867
1, 1637280, Tempo, 495867
1, 1639200, Tempo, 495867
1, 1641120, Tempo, 495867
1, 1643040, Tempo, 495867
1, 1644960, Tempo, 495867
1, 1646880, Tempo, 495867
1, 1648800, Tempo, 495867
1, 1650720, Tempo, 495867
1, 1652640, Tempo, 495867
1, 1654560, Tempo, 495867
1, 1656480, Tempo, 495867
1, 1658400, Tempo, 495867
1, 1660320, Tempo, 495867
1, 1662240, Tempo, 495867
1, 1664160, Tempo, 495867
1, 1666080, Tempo, 495867
1, 1668000, Tempo, 495867
1, 1669920, Tempo, 495867
1, 1671840, Tempo, 495867
1, 1673760, Tempo, 495867
1, 1675680, Tempo, 495867
1, 1677600, Tempo, 495867
1, 1679520, Tempo, 495867
1, 1681440, Tempo, 495867
1, 1683360, Tempo, 495867
1, 1685280, Tempo, 495867
1, 1687200, Tempo, 495867
1, 1689120, Tempo, 495867
1, 1691040, Tempo, 495867
1, 1692960, Tempo, 495867
1, 1694880, Tempo, 495867
1, 1696800, Tempo, 495867
1, 1698720, Tempo, 495867
1, 1700640, Tempo, 495867
1, 1702560, Tempo, 495867
1, 1704480, Tempo, 495867
1, 1706400, Tempo, 495867
1, 1708320, Tempo, 495867
1, 1710240, Tempo, 495867
1, 1712160, Tempo, 495867
1, 1714080, Tempo, 495867
1, 1716000, Tempo, 495867
1, 1717920, Tempo, 495867
1, 1719840, Tempo, 495867
1, 1721760, Tempo, 495867
1, 1723680, Tempo, 495867
1, 1725600, Tempo, 495867
1, 1727520, Tempo, 495867
1, 1729440, Tempo, 495867
1, 1731360, Tempo, 495867
1, 1733280, Tempo, 495867
1, 1735200, Tempo, 495867
1, 1737120, Tempo, 495867
1, 1739040, Tempo, 495867
1, 1740960, Tempo, 495867
1, 1742880, Tempo, 495867
1, 1744800, Tempo, 495867
1, 1746720, Tempo, 495867
1, 1748640, Tempo, 495867
1, 1750560, Tempo, 495867
1, 1752480, Tempo, 495867
1, 1754400, Tempo, 495867
1, 1756320, Tempo, 495867
1, 1758240, Tempo, 495867
1, 1760160, Tempo, 495867
1, 1762080, Tempo, 495867
1, 1764000, Tempo, 495867
1, 1765920, Tempo, 495867
1, 1767840, Tempo, 495867
1, 1769760, Tempo, 495867
1, 1771680, Tempo, 495867
1, 1773600, Tempo, 495867
1, 1775520, Tempo, 495867
1, 1777440, Tempo, 495867
1, 1779360, Tempo, 495867
1, 1781280, Tempo, 495867
1, 1783200, Tempo, 495867
1, 1785120, Tempo, 495867
1, 1787040, Tempo, 495867
1, 1788960, Tempo, 495867
1, 1790880, Tempo, 495867
1, 1792800, Tempo, 495867
1, 1794720, Tempo, 495867
1, 1796640, Tempo, 495867
1, 1798560, Tempo, 495867
1, 1800480, Tempo, 495867
1, 1802400, Tempo, 495867
1, 1804320, Tempo, 495867
