0, 0, Header, 1, 5, 480
1, 0, Start_track
1, 0, Copyright_t, "Copyright 2008 this arrangement Douglas Brooks-Davies"
1, 0, Cue_point_t, "Created by Rosegarden"
1, 0, Cue_point_t, "http://www.rosegardenmusic.com/"
1, 0, Tempo, 769230
1, 0, Time_signature, 9, 3, 36, 8
1, 8640, Time_signature, 12, 3, 36, 8
1, 11520, Time_signature, 9, 3, 36, 8
1, 13680, Time_signature, 12, 3, 36, 8
1, 25200, Time_signature, 9, 3, 36, 8
1, 36000, Time_signature, 12, 3, 36, 8
1, 52560, Time_signature, 9, 3, 36, 8
1, 61200, Time_signature, 12, 3, 36, 8
1, 64080, Time_signature, 9, 3, 36, 8
1, 76920, Tempo, 5000000
1, 77040, Tempo, 769230
1, 77040, Time_signature, 2, 1, 48, 8
1, 130800, Tempo, 750000
1, 130800, Time_signature, 3, 2, 24, 8
1, 173880, Tempo, 5000000
1, 174000, Tempo, 750000
1, 174000, Time_signature, 4, 2, 24, 8
1, 235440, Tempo, 405405
1, 235552, Tempo, 411426
1, 235665, Tempo, 417628
1, 235777, Tempo, 424020
1, 235890, Tempo, 430611
1, 236002, Tempo, 437411
1, 236115, Tempo, 444428
1, 236227, Tempo, 451674
1, 236340, Tempo, 459160
1, 236452, Tempo, 466899
1, 236565, Tempo, 474903
1, 236677, Tempo, 483186
1, 236790, Tempo, 491763
1, 236902, Tempo, 500651
1, 237015, Tempo, 509865
1, 237127, Tempo, 519425
1, 237240, Tempo, 529350
1, 237361, Tempo, 540540
1, 241080, Tempo, 5000000
1, 241200, Time_signature, 2, 2, 24, 8
1, 241200, Tempo, 540540
1, 264600, Tempo, 5000000
1, 264720, Tempo, 545454
1, 296880, Tempo, 545454
1, 297020, Tempo, 553713
1, 297161, Tempo, 562225
1, 297301, Tempo, 571003
1, 297442, Tempo, 580060
1, 297583, Tempo, 589409
1, 297864, Tempo, 609040
1, 298005, Tempo, 619354
1, 298145, Tempo, 630024
1, 298286, Tempo, 641068
1, 298426, Tempo, 652506
1, 298567, Tempo, 664359
1, 298848, Tempo, 689407
1, 298989, Tempo, 702653
1, 299130, Tempo, 716417
1, 299280, Tempo, 731707
1, 299640, Tempo, 5000000
1, 299760, Time_signature, 4, 2, 24, 8
1, 299760, Tempo, 731707
1, 391800, Tempo, 5000000
1, 391920, Tempo, 333333
1, 451680, Tempo, 714285
1, 451710, Tempo, 737327
1, 451740, Tempo, 761904
1, 451770, Tempo, 788177
1, 451800, Tempo, 816326
1, 451830, Tempo, 846560
1, 451860, Tempo, 879120
1, 451890, Tempo, 914285
1, 451920, Tempo, 952380
1, 455160, Tempo, 5000000
1, 455280, Time_signature, 3, 2, 24, 8
1, 455280, Tempo, 952380
1, 522960, Tempo, 555555
1, 523245, Tempo, 563811
1, 523530, Tempo, 572317
1, 523815, Tempo, 581082
1, 524100, Tempo, 590121
1, 524670, Tempo, 609069
1, 524955, Tempo, 619006
1, 525240, Tempo, 629273
1, 525525, Tempo, 639887
1, 526095, Tempo, 662226
1, 526380, Tempo, 673990
1, 526665, Tempo, 686181
1, 526950, Tempo, 698820
1, 527520, Tempo, 725549
1, 527825, Tempo, 740740
1, 528600, Tempo, 5000000
1, 528720, Time_signature, 2, 2, 24, 8
1, 528720, Tempo, 740740
1, 570960, Time_signature, 3, 2, 24, 8
1, 570960, Tempo, 600000
1, 663120, Tempo, 600000
1, 663373, Tempo, 608923
1, 663626, Tempo, 618116
1, 663879, Tempo, 627591
1, 664132, Tempo, 637361
1, 664638, Tempo, 657843
1, 664891, Tempo, 668585
1, 665145, Tempo, 679685
1, 665398, Tempo, 691159
1, 665651, Tempo, 703027
1, 666157, Tempo, 728029
1, 666410, Tempo, 741209
1, 666663, Tempo, 754875
1, 666916, Tempo, 769055
1, 667170, Tempo, 783777
1, 667320, Tempo, 5000000
1, 667438, Tempo, 800000
1, 667440, Time_signature, 6, 3, 36, 8
1, 667440, Tempo, 800000
1, 704880, Tempo, 1224489
1, 705090, Tempo, 1243738
1, 705300, Tempo, 1263601
1, 705510, Tempo, 1284109
1, 705720, Tempo, 1305293
1, 705930, Tempo, 1327188
1, 706350, Tempo, 1373259
1, 706560, Tempo, 1397515
1, 706770, Tempo, 1422643
1, 706980, Tempo, 1448692
1, 707190, Tempo, 1475712
1, 707400, Tempo, 1503759
1, 707820, Tempo, 1563178
1, 708030, Tempo, 1594684
1, 708240, Tempo, 1627486
1, 708480, Tempo, 1666666
1, 709080, Tempo, 5000000
1, 709200, Time_signature, 3, 2, 24, 8
1, 709200, Tempo, 1666666
1, 753840, Tempo, 750000
1, 754151, Tempo, 761153
1, 754462, Tempo, 772644
1, 754773, Tempo, 784487
1, 755396, Tempo, 809296
1, 755707, Tempo, 822299
1, 756018, Tempo, 835726
1, 756330, Tempo, 849600
1, 756952, Tempo, 878775
1, 757263, Tempo, 894127
1, 757575, Tempo, 910025
1, 758197, Tempo, 943580
1, 758508, Tempo, 961303
1, 758520, Tempo, 5000000
1, 758640, Tempo, 1000000
1, 758820, Tempo, 979704
1, 759150, Tempo, 1000000
1, 759480, Tempo, 5000000
1, 759600, Tempo, 1000000
1, 841680, Tempo, 800000
1, 841903, Tempo, 812017
1, 842126, Tempo, 824401
1, 842349, Tempo, 837169
1, 842572, Tempo, 850338
1, 842795, Tempo, 863928
1, 843241, Tempo, 892455
1, 843465, Tempo, 907437
1, 843688, Tempo, 922930
1, 843911, Tempo, 938962
1, 844134, Tempo, 955560
1, 844580, Tempo, 990582
1, 844803, Tempo, 1009073
1, 845026, Tempo, 1028268
1, 845250, Tempo, 1048207
1, 845499, Tempo, 1071428
1, 845880, Tempo, 5000000
1, 846000, Time_signature, 6, 3, 36, 8
1, 846000, Tempo, 1071428
1, 887760, Tempo, 1000000
1, 887983, Tempo, 1014865
1, 888206, Tempo, 1030180
1, 888429, Tempo, 1045963
1, 888652, Tempo, 1062238
1, 888875, Tempo, 1079027
1, 889321, Tempo, 1114250
1, 889545, Tempo, 1132738
1, 889768, Tempo, 1151850
1, 889991, Tempo, 1171618
1, 890214, Tempo, 1192076
1, 890660, Tempo, 1235213
1, 890883, Tempo, 1257974
1, 891106, Tempo, 1281590
1, 891330, Tempo, 1306109
1, 891568, Tempo, 1333333
1, 891960, Tempo, 5000000
1, 892080, Tempo, 1333333
1, 1004400, Tempo, 500000
1, 1004430, Tempo, 507936
1, 1004460, Tempo, 516129
1, 1004490, Tempo, 524590
1, 1004520, Tempo, 533333
1, 1004550, Tempo, 542372
1, 1004580, Tempo, 551724
1, 1004610, Tempo, 561403
1, 1004640, Tempo, 571428
1, 1004670, Tempo, 581818
1, 1004700, Tempo, 592592
1, 1004730, Tempo, 603773
1, 1004760, Tempo, 615384
1, 1004790, Tempo, 627450
1, 1004820, Tempo, 640000
1, 1004850, Tempo, 653061
1, 1004880, Tempo, 666666
1, 1007280, Tempo, 444444
1, 1064880, Tempo, 444444
1, 1064910, Tempo, 458891
